Injured,Player,MP,FG,FGA,FG%,2P,2PA,FT,FTA,TRB,TOV,PTS,MP_total,PER,3PAr,FTr,ORB%,AST%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Luka Don?i?,37.5,11.5,23.6,0.487,7.4,13,6.8,8.7,9.2,4,33.9,2624,28.1,0.45,0.368,2.5,44.3,36,8.5,3.5,12,0.22,8.3,1.7,9.9,8
1,Giannis Antetokounmpo,35.2,11.5,18.8,0.611,11,17.1,7,10.7,11.5,3.4,30.4,2567,29.9,0.091,0.571,8.6,32.7,33,9.5,3.7,13.2,0.246,6.7,2.4,9,7.2
1,Shai Gilgeous-Alexander,34,10.6,19.8,0.535,9.3,16.2,7.6,8.7,5.5,2.2,30.1,2553,29.3,0.181,0.436,3,29.8,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9,7.1
1,Jalen Brunson,35.4,10.3,21.4,0.479,7.5,14.6,5.5,6.5,3.6,2.4,28.7,2726,23.4,0.319,0.302,1.8,33.5,32.5,8.8,2.4,11.2,0.198,6.3,-0.4,5.8,5.4
1,Devin Booker,36,9.4,19.2,0.492,7.2,13,6,6.7,4.5,2.6,27.1,2447,21.9,0.32,0.35,2.7,31.2,29.8,7.2,2,9.2,0.181,4,-1,3,3.1
1,Kevin Durant,37.2,10,19.1,0.523,7.8,13.7,4.8,5.6,6.6,3.3,27.1,2791,21.2,0.283,0.295,1.7,22.2,29,5.1,3.2,8.3,0.142,4,0.1,4,4.3
1,Jayson Tatum,35.7,9.1,19.3,0.471,6,11,5.6,6.7,8.1,2.5,26.9,2645,22.3,0.427,0.349,2.9,21,30.2,6.4,4.1,10.4,0.189,4.5,0.6,5.1,4.7
1,Stephen Curry,32.7,8.8,19.5,0.45,4,7.7,4,4.4,4.5,2.8,26.4,2421,20.6,0.606,0.224,1.7,24.7,31.3,5.2,2,7.2,0.142,6.3,-1.1,5.2,4.4
1,Nikola Joki?,34.6,10.4,17.9,0.583,9.4,14.9,4.5,5.5,12.4,3,26.4,2737,31,0.164,0.31,9.3,42,29.3,12,5.1,17,0.299,9,4.2,13.2,10.6
1,Anthony Edwards,35.1,9.1,19.7,0.461,6.7,13,5.4,6.4,5.4,3.1,25.9,2770,19.7,0.341,0.325,2.2,24.6,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7
1,Anthony Davis,35.5,9.4,16.9,0.556,9,15.5,5.5,6.8,12.6,2.1,24.7,2700,25.8,0.083,0.402,10.4,15.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9
1,Kawhi Leonard,34.3,9,17.1,0.525,6.9,12.1,3.7,4.2,6.1,1.8,23.7,2330,23.2,0.289,0.246,4.2,16.9,26.5,6,2.9,8.9,0.184,4.8,0.6,5.5,4.4
1,Jaylen Brown,33.5,9,17.9,0.499,6.9,12.1,3,4.3,5.5,2.4,23,2343,18.6,0.326,0.239,4,16.6,28.9,2.7,3.2,5.9,0.121,0.9,-0.1,0.7,1.6
1,Tyrese Haliburton,32.2,7.2,15.2,0.477,4.4,7.4,2.8,3.3,3.9,2.3,20.1,2224,23.3,0.51,0.217,1.8,44.9,24.6,7.6,1.5,9,0.195,7.3,-0.4,6.9,5
1,Domantas Sabonis,35.7,7.7,13,0.594,7.3,12,3.6,5.1,13.7,3.3,19.4,2928,23.2,0.081,0.389,11,33.9,22.2,8.6,4,12.6,0.206,4,2.4,6.5,6.2
0,De'Aaron Fox,35.9,9.7,20.9,0.465,6.8,13.1,4.2,5.7,4.6,2.6,26.6,2659,20.1,0.374,0.273,2.8,25.2,31,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2
