Injured,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,TRB,AST,TOV,PTS,MP_total,PER,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,28.9,5.4,10.6,0.512,5.4,10.5,0.514,3,4,9.1,3,1.7,13.9,2227,22.6,0.009,0.38,8.8,17.9,16.8,1.4,5.1,22.2,4.9,4.7,9.6,0.207,2.3,2.8,5.1,4
1,29.4,6.7,13.4,0.499,6.3,12.5,0.509,2.9,3.6,2.3,5.7,2.2,16.7,1997,18.9,0.073,0.266,1,4.4,31.7,0.9,0.3,26.5,3.9,1.9,5.9,0.141,2,-1.2,0.9,1.5
1,30,6.8,11.2,0.609,6.8,11.2,0.61,4.1,6.9,8.4,1.7,2.2,17.8,2252,22.3,0.001,0.617,10.1,16.4,8.9,1.1,3.5,24.2,5.6,2.2,7.8,0.166,1.9,-0.3,1.7,2.1
1,30.1,7.1,14.1,0.502,7.1,14,0.504,3.6,4.3,9.9,2.7,2.1,17.8,2078,24.4,0.007,0.307,7.3,19.1,15.5,1.2,6.4,27.8,3.4,4.9,8.3,0.191,2.4,2.9,5.3,3.8
1,30.3,8.1,16.8,0.483,7,13.4,0.527,5.7,7.4,11,3.2,3.7,22.9,1912,22.9,0.203,0.442,8.4,19.4,18,1,4.8,33.4,2.3,3.8,6.2,0.155,2,1.3,3.3,2.6
1,30.3,5.5,12.7,0.433,3.6,7.2,0.497,4.5,5.1,3.7,4.9,2.2,17.4,2426,21.7,0.433,0.403,2.1,7.1,26.4,2.6,0.8,26,6.6,3.2,9.9,0.195,4.1,1.3,5.4,4.5
1,30.4,10.9,19.7,0.553,9.5,15,0.631,6.3,10,13.6,5.6,3.7,29.5,1917,31.9,0.237,0.508,7.7,22.1,34.2,1.5,3,37.5,6.1,5,11.1,0.279,7.4,4.1,11.5,6.6
1,30.6,8.1,13.6,0.6,8.1,13.6,0.6,3.7,8,9.2,1.9,2.8,20,412,10.7,0,0.427,3.8,9,3.5,0.6,3.5,15.5,0.2,0.5,0.7,0.086,-3.7,0.9,-2.8,-0.1
1,30.6,7.2,14.1,0.513,7.2,13.9,0.521,3.5,4.1,8.5,1.5,1.3,18,2261,22.4,0.015,0.289,9.2,15.9,8.1,0.9,2.8,25.9,5.6,4.5,10.1,0.215,2,0.3,2.3,2.5
1,30.8,5.5,8.2,0.675,5.5,8.1,0.68,3.3,5.3,13.5,1.3,1.7,14.3,2187,23.5,0.007,0.646,12.2,23.3,6,0.9,7,17,6.1,5.2,11.3,0.248,2.1,2.8,4.9,3.8
